File,Cross-Entropy,Overall,Overall Binary,Overall Highest Probability Index,Readability,Understandability,Complexity,Modularization
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/animation/ActorEditorWindow.java,3.6344273481486526,"{2.81463e-08,0.237515,0.762485,2.48766e-07}",True,2,"{4.38897e-07,0.848266,0.151734,3.13027e-08}","{4.80515e-06,0.165522,0.834105,0.000368564}","{0.0384024,0.242482,0.719054,6.09142e-05}","{0.000933063,0.754034,0.245033,2.1247e-08}"
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/animation/AnimationPreviewer.java,4.106339934704115,"{0.0,2.55598e-05,0.33632,0.663654}",True,3,"{2.28e-18,0.0385996,0.954321,0.00707939}","{1.808e-11,0.0220584,0.972453,0.0054887}","{1.11763e-05,0.856708,0.143281,4.3631e-10}","{0.0169976,0.983002,1e-20,0.0}"
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/animation/distortion/CustomDistortion.java,3.5352230072021484,"{0.0,0.0,0.718747,0.281253}",True,2,"{0.0,0.986621,0.0133786,3.96798e-09}","{0.0,0.0,0.0750067,0.924993}","{0.0,1.0,8.728e-17,0.0}","{0.0,1.0,0.0,0.0}"
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/animation/FilterParameterTrack.java,3.680446364546764,"{3e-20,1.52735e-05,0.621429,0.378556}",True,2,"{2.10594e-05,0.994837,0.00513738,4.87282e-06}","{4.96097e-11,0.000594478,0.982747,0.0166586}","{7.97478e-11,0.998797,0.00120278,5.41849e-13}","{0.954571,0.0454259,2.63485e-06,1.9e-19}"
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/animation/IKTrack.java,3.843212592279413,"{8.98743e-10,0.00424964,0.98226,0.0134906}",True,2,"{0.00148014,0.995007,0.00351286,5.91009e-12}","{0.00246177,0.0365374,0.960852,0.000148336}","{0.0218853,0.89388,0.0214254,0.0628096}","{0.961592,0.0384083,2.25749e-09,0.0}"
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/animation/NullKeyframe.java,4.678558826446533,"{1.0,0.0,0.0,0.0}",False,0,"{1.0,1.1349e-16,0.0,0.0}","{1.63e-18,0.997988,0.00201219,0.0}","{0.0,0.0,0.0,1.0}","{0.0,7.456e-13,0.200522,0.799478}"
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/animation/PositionTrack.java,3.8316630319451654,"{3.16518e-06,0.293478,0.553163,0.153356}",True,2,"{2.39448e-09,0.332296,0.599833,0.0678707}","{0.472313,0.366952,0.16065,8.50418e-05}","{0.422985,0.576999,1.57321e-05,1.55726e-08}","{0.166259,0.833741,8.56171e-10,1.64175e-09}"
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/animation/Skeleton.java,3.13562557410779,"{0.0,2.04489e-06,0.101905,0.898093}",True,3,"{1.08924e-06,0.377053,0.622311,0.00063514}","{9.64551e-10,0.00864728,0.211692,0.779661}","{0.96707,0.0329297,3.99267e-07,1.1e-19}","{0.969588,0.0303972,1.51168e-05,6.427e-17}"
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/animation/SkeletonTool.java,3.793680335808584,"{2.69737e-15,0.000637118,0.778688,0.220675}",True,2,"{2.1087e-06,0.7747,0.225161,0.000136264}","{4.72941e-10,0.00523159,0.617116,0.377652}","{0.195395,0.803749,0.00084415,1.21135e-05}","{0.686819,0.31067,0.00251102,1.40927e-08}"
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/animation/VerticalAxis.java,3.728132486343384,"{0.0,1.0,0.0,0.0}",True,1,"{0.0,1.0,3.06531e-13,0.0}","{0.000861653,0.155208,0.842656,0.00127435}","{0.0,1.10888e-07,1.0,3.59017e-08}","{0.0,7.3426e-11,0.998341,0.00165913}"
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/ApplicationPreferences.java,3.792399905757143,"{1.05354e-15,0.292087,0.707912,8.54689e-07}",True,2,"{5.30556e-08,0.416488,0.582699,0.000812561}","{9.84635e-09,0.0698408,0.929939,0.000220625}","{2.56443e-13,0.104801,0.895198,9.31582e-07}","{1.42926e-11,0.353875,0.645926,0.000198905}"
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/CreateCubeTool.java,3.6674850517800297,"{6.26927e-11,0.160984,0.839016,6.86164e-09}",True,2,"{0.248359,0.744758,0.00688327,2.9169e-15}","{6.23696e-07,0.00957817,0.990363,5.86593e-05}","{6.48054e-07,0.969641,0.0303566,1.70608e-06}","{0.172267,0.827733,3.12427e-10,0.0}"
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/CreateCylinderTool.java,3.7048662905727636,"{1.34211e-05,0.811055,0.188931,2.1468e-12}",True,1,"{0.794363,0.205552,8.13138e-05,4.28746e-06}","{0.0250775,0.967531,0.00422515,0.00316647}","{0.000388572,0.18772,0.811891,1.25376e-08}","{0.0,1.48226e-07,0.999404,0.000596285}"
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/CreateVertexTool.java,3.150721424322837,"{0.0,0.0036873,0.0400825,0.95623}",True,3,"{1.7711e-05,0.876129,0.123836,1.73508e-05}","{1.38549e-08,0.0165304,0.981572,0.00189809}","{0.935294,0.0647059,2.61807e-09,0.0}","{0.16838,0.814475,0.0171431,2.33585e-06}"
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/CurveViewer.java,3.6337951953027745,"{0.0,0.0277433,0.68544,0.286817}",True,2,"{1.65952e-08,0.200801,0.798334,0.000865317}","{3.32222e-09,0.0799565,0.906221,0.0138226}","{0.958833,0.0411671,7.18828e-09,0.0}","{6.93393e-07,0.978544,0.0214554,6.87501e-12}"
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/image/ImageOrColor.java,4.212902069091797,"{0.00057048,0.992867,0.00656229,0.0}",True,1,"{0.98741,0.0125897,1.001e-17,0.0}","{3.80228e-05,0.98222,0.0177424,4.596e-17}","{5.54e-18,0.00287127,0.997122,6.96728e-06}","{7.627e-16,0.00180606,0.998192,2.09368e-06}"
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/image/ImageSaver.java,3.7642819285596816,"{7.18587e-14,0.0121499,0.987692,0.000158553}",True,2,"{1.40951e-07,0.278413,0.721586,2.12196e-08}","{1.10758e-10,0.112411,0.887589,1.0538e-07}","{0.156819,0.837267,0.0059133,1.06594e-13}","{0.748017,0.251934,4.92877e-05,1.02373e-15}"
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/keystroke/KeystrokeEditor.java,3.4404764093749303,"{0.00137148,0.935403,0.0632256,9.20024e-13}",True,1,"{9.08275e-05,0.998084,0.00182529,5e-18}","{2.20846e-05,0.96284,0.0371384,4.94761e-15}","{0.0,7.95977e-05,0.355123,0.644798}","{3.20969e-06,0.0176647,0.955831,0.0265009}"
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/keystroke/KeystrokePreferencesPanel.java,3.9049994358163795,"{9.40091e-05,0.428737,0.571168,9.89641e-07}",True,2,"{0.311106,0.688626,0.000268399,2.06618e-08}","{0.000216931,0.812951,0.186602,0.000229695}","{6.82077e-07,0.0278124,0.941711,0.0304762}","{0.000185503,0.406105,0.593709,7.08585e-08}"
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/material/Material3D.java,5.777379512786865,"{0.952335,0.0476649,3.02513e-07,2.01474e-15}",False,0,"{0.957194,0.0427955,1.01182e-05,6.00241e-10}","{0.916827,0.0827324,0.000440876,5.81851e-11}","{7.25228e-12,0.000480204,0.0986215,0.900898}","{2.16921e-08,0.000702627,0.120956,0.878342}"
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/material/MaterialMapping.java,5.554887771606445,"{0.984911,0.0150895,1.29179e-09,0.0}",False,0,"{0.961645,0.0383463,8.42896e-06,1.56289e-10}","{0.949126,0.0507472,0.000126645,3.24991e-13}","{6.2976e-16,8.3078e-06,0.0398721,0.96012}","{2.209e-17,6.29103e-05,0.0339099,0.966027}"
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/math/Cells.java,3.3050696227339005,"{0.0,0.0,7.72865e-06,0.999992}",True,3,"{4.4464e-11,0.417761,0.582238,1.73135e-07}","{6.52175e-11,4.05309e-12,6.76266e-07,0.999999}","{0.839412,0.160588,1.66336e-11,0.0}","{0.858521,0.141466,1.29045e-05,0.0}"
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/math/Mat4.java,2.045625201184699,"{3.23e-18,0.000177758,0.999822,1.78978e-07}",True,2,"{0.000167046,0.998948,0.000885053,3.3478e-16}","{1.66154e-10,5.03514e-11,1.3971e-09,1.0}","{0.936562,0.0634331,4.85325e-06,1.7e-19}","{6.97847e-11,0.957151,0.0428486,3.63254e-11}"
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/MoveScaleRotateObjectTool.java,3.59631547663965,"{0.0,0.000145129,0.144014,0.855841}",True,3,"{3.16977e-05,0.496665,0.461597,0.0417057}","{1.37164e-05,0.00131198,0.551269,0.447405}","{0.295799,0.703915,0.000285956,0.0}","{0.249701,0.723729,0.0265661,4.05562e-06}"
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/object/ImplicitObject.java,1.7891061808104531,"{0.0,1.88614e-05,0.0113335,0.988648}",True,3,"{4.24518e-06,0.879494,0.120502,1.6676e-09}","{1.53126e-09,1.95545e-05,7.60514e-06,0.999973}","{0.967037,0.0329634,7.87874e-10,0.0}","{0.896138,0.103431,0.000431154,5.27637e-10}"
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/object/MeshVertex.java,3.5743520259857178,"{7.70063e-07,0.699322,0.300677,1.09911e-13}",True,1,"{0.0405447,0.940401,0.0190544,3.94009e-12}","{6.32424e-09,2.5114e-08,2.368e-09,1.0}","{3.53704e-07,0.543985,0.456014,3.75009e-10}","{0.0,3.25912e-09,0.897045,0.102955}"
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/object/ReferenceImage.java,3.5360849553476825,"{3.09088e-06,0.949007,0.0509891,5.86689e-07}",True,1,"{5.93656e-06,0.426038,0.573954,1.8393e-06}","{1.58351e-05,0.177255,0.822728,1.47673e-06}","{0.000869818,0.416608,0.582523,4.00404e-10}","{6.40732e-11,0.542205,0.457795,8.30816e-11}"
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/ObjectPropertiesPanel.java,3.5398895797953664,"{0.0,0.000229415,0.278809,0.720962}",True,3,"{3.16977e-05,0.496665,0.461597,0.0417057}","{9.07124e-08,0.00180294,0.732791,0.265406}","{0.295799,0.703915,0.000285956,0.0}","{0.531182,0.460258,0.00855951,1.16629e-06}"
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/ObjectViewer.java,3.9062322630479884,"{3.57235e-08,0.848956,0.151044,1.0914e-13}",True,1,"{1.41465e-06,0.615273,0.384171,0.000553999}","{6.68991e-07,0.293036,0.696728,0.0102362}","{0.673356,0.325896,0.00074817,1.02153e-09}","{0.829763,0.170143,9.40737e-05,1.63721e-15}"
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/procedural/AbsModule.java,4.149653911590576,"{0.986357,0.0136434,5.26997e-13,0.0}",False,0,"{0.953062,0.0281809,0.0187569,3.64161e-10}","{0.970301,0.0292325,0.000466585,6.15788e-11}","{0.0,8.457e-17,0.195607,0.804393}","{2.16921e-08,0.000702627,0.120956,0.878342}"
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/procedural/ClipModule.java,4.093691825866699,"{0.780944,0.219055,9.88665e-07,2.11e-18}",False,0,"{0.123871,0.866749,0.00937912,3.8977e-16}","{0.179457,0.820541,2.05518e-06,0.0}","{0.0,1.19065e-07,0.379647,0.620353}","{1e-20,0.0332858,0.93764,0.0290743}"
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/procedural/ColorDarkenModule.java,4.030231475830078,"{0.000184971,0.560906,0.438909,8.51292e-07}",True,1,"{4.82e-18,0.00996481,0.990035,9.0059e-08}","{0.00131953,0.328108,0.670536,3.66646e-05}","{5.61592e-08,0.000555821,0.163575,0.83587}","{0.0,1.90154e-07,0.908218,0.0917819}"
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/procedural/ColorLightenModule.java,4.014464855194092,"{2.7784e-07,0.998647,0.00135234,0.0}",True,1,"{0.000323504,0.801422,0.198255,8.76174e-10}","{0.0143,0.881752,0.103948,3.65093e-08}","{4.2263e-08,0.00559594,0.644136,0.350268}","{0.0,2.22352e-08,0.999106,0.000894427}"
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/procedural/ColorScaleModule.java,4.204224109649658,"{6.57882e-10,0.999974,2.57115e-05,2e-20}",True,1,"{4.29087e-08,0.998152,0.00184827,2.47185e-13}","{0.000739899,0.990513,0.00874749,1.7389e-16}","{4.6e-19,0.00063426,0.618055,0.38131}","{0.0,1.23e-18,0.0139355,0.986064}"
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/procedural/ColorSumModule.java,3.9416847229003906,"{0.0592685,0.940726,5.41371e-06,0.0}",True,1,"{0.794363,0.205552,8.13138e-05,4.28746e-06}","{0.267107,0.721851,0.0110412,1.57919e-08}","{2.21551e-08,0.0411545,0.952573,0.0062725}","{0.0,7.16025e-09,0.342579,0.657421}"
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/procedural/MaxModule.java,3.567619800567627,"{5.97118e-11,0.0260966,0.89756,0.0763431}",True,2,"{0.000705918,0.998092,0.00120219,1.98125e-14}","{5.5884e-07,0.00327797,0.996106,0.000615078}","{1.14097e-12,0.106461,0.892951,0.00058768}","{0.0,1.16295e-15,0.99141,0.00859009}"
