Model,Accuracy,Precision (True),Precision (False),Recall (True),Recall (False),F1-Score (True),F1-Score (False),AUC,Decision Boundary,Mean Squared Error For Regression,Spearman Rank Correlation,P-value,Max Input (Tokens)
Bloomz-1b1,0.52,0.38,0.69,0.57,0.5,0.45,0.58,0.57,1.18,0.7211,-0.3304,0.0,1536
Bloomz-7b1,0.52,0.38,0.7,0.62,0.47,0.47,0.57,0.55,0.94,0.7497,-0.1843,0.0013,4096
Bloomz-1b7,0.57,0.42,0.75,0.67,0.53,0.52,0.62,0.59,1.17,0.7164,-0.3688,0.0,2048
CodeGPT-small-java,0.62,0.47,0.77,0.67,0.6,0.55,0.68,0.63,3.86,0.6656,-0.4408,0.0,1024
Bloomz-3b,0.57,0.43,0.77,0.71,0.5,0.54,0.61,0.59,1.11,0.7145,-0.3617,0.0,2560
CodeGPT-java-10.2,0.7,0.56,0.81,0.67,0.72,0.61,0.76,0.77,3.34,0.6487,0.5719,0.0,1024
CodeLlama-13b-hf,0.52,0.36,0.67,0.48,0.55,0.41,0.6,0.49,0.46,0.7261,-0.1783,0.0018,4096
CodeLlama-7b-hf,0.57,0.42,0.73,0.62,0.55,0.5,0.63,0.54,0.53,0.716,-0.2465,0.0,4096
codegen-350m-mono-java,0.54,0.38,0.69,0.52,0.55,0.44,0.61,0.61,1.17,0.7051,-0.3495,0.0,1024
Bloomz-560m,0.54,0.39,0.7,0.57,0.53,0.46,0.6,0.6,1.45,0.7156,-0.3305,0.0,1024
