Model,Accuracy,Precision (True),Precision (False),Recall (True),Recall (False),F1-Score (True),F1-Score (False),AUC,Decision Boundary,Mean Squared Error For Regression,Spearman Rank Correlation,P-value,Max Input (Tokens)
Bloomz-1b1,0.54,0.34,0.72,0.53,0.55,0.42,0.62,0.64,1.07,0.7135,-0.3246,0.0,1536
Bloomz-7b1,0.57,0.32,0.69,0.32,0.69,0.32,0.69,0.55,0.7,0.7556,-0.1091,0.0575,4096
Bloomz-1b7,0.54,0.33,0.71,0.47,0.57,0.39,0.63,0.65,1.07,0.7101,-0.3564,0.0,2048
CodeGPT-small-java,0.67,0.47,0.76,0.47,0.76,0.47,0.76,0.75,3.65,0.6325,-0.4289,0.0,1024
Bloomz-3b,0.54,0.34,0.72,0.53,0.55,0.42,0.62,0.65,1.0,0.7154,-0.3412,0.0,2560
CodeGPT-java-10.2,0.77,0.61,0.87,0.74,0.79,0.67,0.82,0.87,3.47,0.647,0.6392,0.0,1024
CodeLlama-13b-hf,0.57,0.18,0.66,0.11,0.79,0.13,0.72,0.53,0.31,0.7191,-0.1263,0.0276,4096
CodeLlama-7b-hf,0.54,0.15,0.65,0.11,0.74,0.12,0.69,0.57,0.41,0.7109,-0.1909,0.0008,4096
codegen-350m-mono-java,0.61,0.39,0.74,0.47,0.67,0.43,0.7,0.64,1.05,0.707,-0.3054,0.0,1024
Bloomz-560m,0.56,0.35,0.71,0.47,0.6,0.4,0.65,0.64,1.32,0.7161,-0.3132,0.0,1024
