Model,Accuracy,Precision (True),Precision (False),Recall (True),Recall (False),F1-Score (True),F1-Score (False),AUC,Decision Boundary,Mean Squared Error For Regression,Spearman Rank Correlation,P-value,Max Input (Tokens)
Bloomz-1b1,0.59,0.74,0.43,0.57,0.62,0.65,0.51,0.64,1.12,0.3696,0.2141,0.0002,1536
Bloomz-7b1,0.52,0.63,0.3,0.65,0.29,0.64,0.29,0.55,0.72,0.3805,0.0636,0.269,4096
Bloomz-1b7,0.59,0.73,0.43,0.6,0.57,0.66,0.49,0.66,1.12,0.3646,0.2569,0.0,2048
CodeGPT-small-java,0.72,0.81,0.58,0.75,0.67,0.78,0.62,0.75,3.79,0.3505,0.4034,0.0,1024
Bloomz-3b,0.57,0.72,0.41,0.57,0.57,0.64,0.48,0.65,1.04,0.3634,0.2503,0.0,2560
CodeGPT-java-10.2,0.66,0.76,0.5,0.7,0.57,0.73,0.53,0.75,3.37,0.2907,-0.5721,0.0,1024
CodeLlama-13b-hf,0.54,0.62,0.18,0.78,0.1,0.69,0.12,0.51,0.33,0.379,0.0849,0.1397,4096
CodeLlama-7b-hf,0.49,0.6,0.19,0.68,0.14,0.64,0.16,0.55,0.43,0.3729,0.1221,0.0333,4096
codegen-350m-mono-java,0.61,0.74,0.44,0.62,0.57,0.68,0.5,0.67,1.09,0.3663,0.1992,0.0005,1024
Bloomz-560m,0.59,0.73,0.43,0.6,0.57,0.66,0.49,0.67,1.38,0.3676,0.219,0.0001,1024
