Model,Accuracy,Precision (True),Precision (False),Recall (True),Recall (False),F1-Score (True),F1-Score (False),AUC,Decision Boundary,Mean Squared Error For Regression,Spearman Rank Correlation,P-value,Max Input (Tokens)
Bloomz-1b1,0.62,0.78,0.56,0.42,0.86,0.55,0.68,0.51,1.37,0.807,0.3335,0.0,1536
Bloomz-7b1,0.57,0.71,0.52,0.36,0.82,0.48,0.64,0.5,1.19,0.8405,0.1606,0.005,4096
Bloomz-1b7,0.64,0.79,0.57,0.45,0.86,0.58,0.69,0.54,1.35,0.7937,0.3696,0.0,2048
CodeGPT-small-java,0.57,0.65,0.53,0.45,0.71,0.54,0.61,0.63,4.17,0.7439,0.4889,0.0,1024
Bloomz-3b,0.64,0.79,0.57,0.45,0.86,0.58,0.69,0.53,1.29,0.7945,0.356,0.0,2560
CodeGPT-java-10.2,0.74,0.77,0.7,0.73,0.75,0.75,0.72,0.8,3.13,0.6657,-0.6111,0.0,1024
CodeLlama-13b-hf,0.46,0.5,0.44,0.33,0.61,0.4,0.51,0.39,0.58,0.8367,0.1261,0.028,4096
CodeLlama-7b-hf,0.48,0.52,0.45,0.33,0.64,0.41,0.53,0.43,0.66,0.8275,0.1955,0.0006,4096
codegen-350m-mono-java,0.61,0.76,0.55,0.39,0.86,0.52,0.67,0.56,1.35,0.7928,0.3221,0.0,1024
Bloomz-560m,0.61,0.71,0.55,0.45,0.79,0.56,0.65,0.55,1.65,0.7949,0.335,0.0,1024
